OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20 
+,1626,4906,5425,9196,7331,7350,609,899,1054,9559,4621,9230,1206,5574,7374,6113,8611,7658,2075,1816
+,4069,2687,2383,888,8172,4197,4052,3779,1955,2559,3226,3030,2405,9088,2195,2178,4855,2133,5975,5325
+,8165,2634,7398,5479,8022,3440,3475,7641,6583,545,2352,6686,2597,6476,8550,7440,3267,1508,3009,8454
+,2949,6011,8073,7464,556,2661,3747,5490,5736,7196,5209,5249,8231,8609,2499,296,6784,4868,1365,3172
+,603,3622,8278,6443,132,4611,8872,9624,5117,1849,6701,5294,9473,4550,2322,7230,8230,6339,8258,7593
+,1384,7034,7812,3490,6972,6437,7996,3224,4568,9714,6777,6305,3348,6221,7453,1229,5681,4339,3858,5894
+,6475,4842,3822,9564,9004,2389,7488,293,8576,5839,4687,2959,1713,8967,2478,7753,77,9866,8422,2462
+,6002,5984,6979,5252,6849,1896,7679,8152,3851,3173,3288,6693,512,8804,7862,312,1688,366,3387,8362
+,8191,7505,1299,5006,8653,4742,2266,3763,2114,772,1289,9404,3536,5863,3554,7820,3527,6334,1676,26
-,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6645,1236,171,6202,2934,8363,2175,1303,1282,9976,1781,3698,1704,4085,8223,9948,2012,545,8058,2759
+,5317,243,5794,126,4472,3600,5438,4059,9050,2116,9657,493,9761,5004,1907,1595,6547,6650,8504,2767
+,6566,9214,3388,7740,4954,5697,4334,1243,3676,2590,2938,1821,901,2520,3064,1547,6123,1517,9383,9266
+,9691,4820,529,4023,3890,5588,5058,8810,4718,4356,1545,5926,9310,3333,6277,1544,2763,1264,1168,9188
+,9477,7249,300,8734,9340,3559,6410,9987,5484,1658,2058,3742,3314,8111,9513,4694,2322,7344,6994,2921
+,2805,5503,1963,7995,2126,3833,3692,5057,8947,6338,5221,3465,6648,10000,8973,9054,4684,4051,9829,9836
+,4247,1933,3461,2185,8275,9804,3100,4000,6645,9809,4156,6244,2696,8427,5025,4636,1690,9105,6023,6620
+,3477,5715,156,5516,4793,182,3733,2425,2039,8175,1244,7448,8280,8899,3468,2104,5054,7989,1020,397
+,1647,8616,8415,8636,5765,417,1148,5140,1417,6229,5394,3444,3831,1948,3897,223,8951,7926,6866,9923
+,4541,2018,3171,1304,5113,9323,9167,2114,6978,1444,8294,4601,1918,3793,1012,20,8666,733,9202,6257
+,4150,1548,3064,10000,6448,9713,991,5196,4799,7879,193,9717,6128,4933,9409,6615,5632,757,3416,2321
+,7025,1099,3994,55,859,3111,2337,6644,580,7425,6674,2097,1496,2266,288,9931,9662,68,4510,6406
+,8574,8120,8129,6743,5511,9294,9925,3407,2455,2156,8391,3139,2814,463,2890,2367,6477,6457,2023,4161
+,1395,8885,7304,1477,7297,7396,2232,4668,657,6650,8225,5101,9070,1956,5040,3630,6469,2493,14,4450
+,153,6669,7312,1325,4887,1186,8201,3863,6406,9527,3244,8495,2266,2724,3290,2467,4173,1663,1821,955
+,4071,1515,9911,4111,771,1321,7580,4164,8265,7381,1194,6569,4254,7591,1597,1129,9698,8999,1597,9796
+,2910,8108,1712,603,7723,7066,7523,1532,1793,1451,8162,4951,2352,907,6423,6405,4693,2310,2319,2839
+,8201,2048,9254,7894,1007,4244,6828,4541,9779,9482,9656,7627,6463,187,9881,26,1174,9448,3715,8019
+,2013,3489,8305,6040,3497,3565,7267,1977,2451,5354,6517,750,5744,7701,7880,1522,4544,3228,1048,5574
+,1509,9612,7368,2409,6913,9395,1557,8157,8134,9215,2717,760,9402,7798,1924,4212,4002,2767,9310,5169
+,4043,2572,6739,6159,6407,8516,1688,9933,589,2344,471,9066,7625,8707,4765,290,8883,4587,8074,5205
+,8311,2634,5373,8654,3441,8061,653,3173,9001,2844,1204,157,3966,2577,6882,8706,852,227,7286,569
+,7054,2535,4707,83,7155,1445,2263,7404,4528,9293,9167,5671,4320,2207,6486,3994,1652,3842,2149,3370
+,4562,785,6512,8480,9982,3521,1283,352,5199,7676,7723,8978,1554,6490,5514,5668,4716,6095,7452,3154
+,6016,7574,6055,8314,8725,8184,7169,7365,9935,3205,8981,7317,3091,7409,2734,3389,8382,3458,7428,7138
+,2569,8317,7748,636,1840,1448,616,3062,8982,525,5684,6193,3884,3489,2807,646,1464,9039,4629,1565
+,3262,5409,824,9964,8308,4926,4722,4581,5834,4324,110,8292,2423,3147,6530,6933,5128,5909,5186,6869
-,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,960,2016,5234,9639,9915,8048,9897,4329,9276,4438,3954,9024,1414,1657,904,4693,502,9888,3227,858
+,2273,1752,1532,9707,5306,6259,6414,1643,516,1153,1222,6514,9993,4748,2240,3950,507,5891,5678,4917
+,5164,9893,6322,2814,1733,4895,466,5475,9805,5679,2686,778,3182,2720,8563,9691,7717,4393,9451,4740
+,4703,7359,4957,4676,9913,6906,960,4605,4377,4608,4980,4332,4763,9906,1553,6090,5162,9814,4331,4515
+,3737,4315,8283,3098,8023,8562,1360,3981,2888,5402,7391,6547,3363,2885,8743,8865,9420,486,6455,9304
+,6227,7119,9208,5082,1739,1951,1706,6049,907,1740,6655,7277,7996,5168,2254,8970,207,8616,4554,7658
+,2214,238,3511,6451,7097,5705,4697,426,1480,3908,2250,4471,703,2247,4533,1479,300,6899,4638,9675
+,2409,6349,1490,9698,7084,4363,5302,3868,9742,5271,9384,1107,1814,4774,3232,5336,684,1815,6892,2727
+,2583,3220,7310,9922,7801,8463,9332,80,9453,1228,9292,6758,2227,8118,6027,5986,5511,3917,2756,3215
+,8738,8811,8609,181,7059,3816,6547,2679,17,4132,6082,8214,3491,2265,7857,4412,7606,1548,4923,3096
+,3412,435,8547,3740,4559,6406,4436,433,5680,2050,1501,1098,844,8038,535,4377,6828,116,6959,5643
+,1306,4068,897,7255,6153,7874,5405,873,3316,7990,5534,9053,4390,8812,5911,3988,3665,6194,7657,3486
-,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3618,8246,5850,5369,173,7637,7016,6790,332,9083,2068,5537,2472,3761,5413,468,6847,9064,5775,579
+,7462,5124,5443,1042,8763,9268,1542,9147,5826,5742,2799,6158,228,5169,1746,7647,445,3971,1068,884
+,383,9916,9362,5693,6411,1624,16,7594,5008,8442,668,1517,9472,6097,3687,6700,9101,8710,8933,8623
+,1050,7754,8556,7556,7110,3977,9175,4000,529,347,2681,3985,6507,1383,1525,7263,9144,8704,8125,2151
+,1732,516,2563,9256,9494,306,3758,7980,1544,7205,7285,6108,2553,2066,519,4692,4536,5406,4082,6094
+,3707,5184,2528,1015,699,1462,521,187,2201,9376,2664,8268,3926,4565,8127,5697,2152,6701,7081,1458
+,1415,5206,457,4944,9030,9786,6120,38,9547,7782,8061,7189,2396,3749,3516,9046,1399,9039,2559,1329
+,546,5958,6029,7858,5984,2577,5717,1973,5253,2232,5438,6246,70,4254,8483,3553,4730,8582,390,3415
+,5901,5594,3460,2939,2268,2862,2905,2853,3276,4045,9978,828,5889,2506,5243,9013,1355,2574,7437,2733
+,4117,7459,8033,4299,9691,2081,5268,2903,8527,9633,5043,7928,2274,4196,6743,9535,510,5575,4736,2966
+,1921,6378,9206,805,9534,977,9620,6695,145,6797,2311,9962,9697,4804,9570,403,3812,8115,6781,2372
+,8913,3571,3745,4095,6861,477,9655,1064,9003,1703,1050,5300,8092,8794,1351,5328,5394,7420,9736,5274
+,5282,8500,5849,2239,5506,2143,5025,8374,7441,7752,5963,2838,277,1344,4664,8895,3942,2959,6450,3684
+,8228,5879,9246,3907,9575,7755,1087,8491,9183,4769,6438,6957,8030,1181,5483,7521,3611,8497,3883,2111
+,1887,66,7333,4473,8624,2382,3657,5943,5052,923,5276,9048,4946,2568,3068,207,3338,6057,7308,2308
+,4807,3324,1707,1056,554,7002,1653,6468,4795,9271,4237,4467,6102,1611,1866,6059,9526,286,3268,1028
+,5416,5643,6026,3327,145,6811,1481,3174,7831,5906,9761,6657,5834,7106,3750,2454,8310,8771,3955,9887
+,2783,136,2913,7326,5652,2961,5857,4596,9560,1848,9101,3843,7755,5891,6231,1569,8981,5626,1530,4482
+,6215,2822,1698,9893,2680,7936,2056,9790,4568,6695,4211,9904,7429,8438,2910,4005,933,5307,9081,9566
+,9273,6786,3628,817,7887,7330,5270,2129,472,1614,8443,4455,1739,2094,8921,8098,1127,5858,7832,9741
+,204,4069,9923,3605,9999,6319,4841,6649,3767,4151,8843,3171,2152,9433,9056,3846,7432,2833,1915,1112
+,7999,2428,1765,7252,4045,6316,9216,3985,7013,5753,1693,3011,9441,2228,9774,2292,6726,8968,1319,1534
-,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7624,4186,2859,272,2216,35,4016,7453,3853,5706,9764,6495,6829,3933,3995,9763,5218,972,4380,2375
+,789,2147,500,1312,1717,6707,3072,505,7889,4408,4064,3941,4499,4220,7938,7226,9202,4068,6185,3070
+,5153,7201,2865,2069,6916,8525,3536,8280,9974,7980,3766,8681,8830,8149,4012,3338,4753,6117,912,114
+,5549,7521,1352,7447,4131,8773,567,9768,8912,3068,2545,5375,5888,6704,6036,8538,9783,8805,9715,3293
+,1022,5498,7302,7447,4976,9806,4675,9677,4204,4659,8270,2542,9209,1436,154,2437,7780,4513,1740,2576
+,6971,5951,9063,647,6043,4929,3791,3572,8432,8709,5861,3315,1136,8209,3374,2272,7116,8477,3053,1679
+,1594,5584,7750,3021,8664,1113,2616,8796,5090,3992,2972,7872,662,5027,9745,6851,7936,1171,6808,9036
+,6621,5053,1385,7995,1007,2471,6095,820,4983,3323,8828,2137,5567,2701,5363,3839,2120,6475,5792,2369
+,2394,9274,7176,5426,2226,9110,5146,3896,2672,7686,196,4799,628,8164,2001,6705,516,1282,8941,2040
+,7118,6473,9802,2528,2712,6676,9658,5927,4606,5068,3153,3313,7717,2742,7153,5994,2812,4115,5158,7515
+,6259,4060,2007,7400,3217,5092,502,1063,8885,1499,9506,9038,8336,5776,3559,721,8874,8273,3280,5905
+,769,7872,1487,7624,6921,2035,903,8555,8902,3322,3724,7374,9975,4610,169,4890,8698,1665,7946,4981
+,8463,3415,7407,250,3819,7698,6850,6437,332,5170,3517,8281,664,1427,1726,5484,2892,9488,4801,6265
+,6881,1422,6087,5234,1278,5660,4350,621,145,4033,8934,719,1465,5588,202,8767,4252,1403,2264,2813
+,4831,1064,2848,4486,8269,7318,3253,7467,1020,800,3855,6859,1632,5263,3999,3353,5897,1523,555,9624
+,1067,7190,4170,2138,5458,208,542,5311,7994,8118,7558,425,4848,272,3263,827,5751,4929,7507,98
+,2376,7550,5532,5172,5756,6268,1470,5343,88,5076,6584,4123,4800,5177,4037,5715,6470,918,8898,2410
+,5596,6197,6569,3225,6541,4962,6973,3779,6693,1557,7991,7679,1133,5936,7964,5693,6678,3561,8252,5656
+,9092,5344,159,545,853,6206,3861,3203,2884,1395,7030,197,9675,3989,6122,4485,4876,7365,9204,7311
+,6841,9633,5036,8832,1543,7193,1850,5011,8921,6144,6869,3301,6526,1220,8204,1345,2095,4048,3220,1054
+,9256,8235,2009,2257,5596,9934,4260,4774,248,1060,1871,9086,5224,7329,475,3162,4801,8066,9399,3420
+,2234,3884,7649,5364,6929,4953,6833,628,5352,2307,7048,1379,1992,5818,5073,4534,3611,7210,1626,5938
+,73,9734,6088,3561,1767,2752,7414,5098,5092,8507,9109,8876,9803,8057,8894,4392,1346,9011,4082,450
+,4668,8499,4294,7264,2488,5935,5896,9463,6643,7502,4292,7347,4600,5912,4803,5375,6187,1602,1639,9112
+,6460,5196,1519,6647,2600,98,4577,3887,8153,6145,591,5401,7434,1737,2354,4094,5424,6114,4976,7675
+,36,3202,9975,2176,8580,1446,5435,1643,4094,4044,6933,3809,6999,6523,138,1714,7103,8857,8286,9728
+,1893,9752,995,6652,1246,6775,8943,5176,2481,9219,4799,4851,8619,1922,4053,5315,6033,8623,5786,9856
+,1138,3665,9916,270,7198,4293,3171,9867,3109,7931,3468,6509,5343,8241,4761,8128,1447,8867,4701,4096
-,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1771,6098,6441,3789,6615,5275,3009,6146,4258,912,3865,8406,4900,9315,4129,7113,6606,1632,2677,9851
+,5528,2205,3520,975,3217,6799,4812,4657,2826,4019,146,401,5941,8387,2069,5555,612,8708,9246,7465
+,5227,8470,980,6787,5228,2760,9919,5655,1775,7548,6763,6125,5607,299,2481,6419,3891,6313,9601,2627
+,3794,5131,6232,6898,8627,7137,2037,1839,6950,5247,4814,1170,2887,5737,1252,5971,8816,7959,5189,6472
-,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7391,711,3175,3127,3859,2563,8358,3235,2028,1886,1990,1963,6756,2040,5632,3491,3623,7052,5513,9600
+,1030,9689,1426,9842,7734,8527,1612,2081,283,7602,9986,8760,9622,3889,8296,8042,8313,4073,6505,1881
+,3438,3634,7491,9985,3156,2973,8891,2478,739,9402,24,3573,3235,607,6972,46,8898,1110,1634,3961
+,3833,9076,159,5815,7950,9503,5651,1053,2040,283,1929,8695,4734,5258,5131,7061,5930,6793,4394,3227
+,7426,7984,7642,9819,7081,6986,90,3150,1274,8645,2630,3932,7060,2337,2390,1377,1058,9094,6115,7143
+,9200,3965,3167,2921,9727,551,3212,5936,359,1031,6556,6812,9522,2584,9469,98,56,4907,3402,4964
+,3295,3709,5733,2093,1202,2166,6439,8030,8515,3145,8057,7959,9609,6037,4475,2934,3397,4931,4542,2394
-,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1186,2707,5520,9601,6484,5182,4868,6926,9928,7855,2332,5857,6458,5332,9690,3318,2937,2839,3639,6922
+,1525,6234,1878,2164,1681,6570,7713,9962,7234,7456,7911,5119,1248,4273,1684,8847,5887,2143,8337,414
+,2132,9903,263,3174,8439,1229,409,2845,6063,65,4027,2930,3747,9156,2740,9308,3889,348,3820,2124
+,1677,6931,1614,6461,4879,6986,6421,817,5393,5441,9625,3284,9550,3710,7448,2317,9161,1053,3299,8247
+,6706,8113,9889,4984,1910,3982,3187,7355,7040,6605,9993,8751,3110,5257,6947,6821,1165,3421,1803,1906
+,1507,11,2632,8817,9772,1122,7866,4791,4768,9784,4759,5271,5996,2393,9559,697,3482,6447,3224,7646
+,5496,9707,4904,4472,1470,4275,2147,8622,4084,8303,7372,5779,6493,9335,2118,297,5877,8123,9216,7079
+,4684,1705,4121,7325,9755,9903,1453,8082,6417,5733,8481,563,8498,7110,1979,2269,8451,8818,7032,5051
+,6119,1154,1090,9775,6872,4501,5442,2854,9680,5357,3187,6751,8739,713,6948,9564,9684,8069,8618,5808
+,4609,6762,8814,5537,5310,8930,9563,1272,5199,6882,6494,4302,5802,4382,2642,9014,6657,1293,134,1689
+,851,7746,457,3176,9079,5244,2941,8616,1260,7023,6334,5085,4290,4139,6239,1348,6748,9411,9166,411
+,7152,3085,7792,1714,9896,3165,3371,4908,985,7204,10,3514,248,2644,1496,2912,1588,2348,1507,1944
+,9161,6474,7293,7782,1865,2386,1816,8896,4781,3300,568,9351,1018,9767,7889,7168,6965,1801,4388,6324
+,9556,5545,9554,4574,8756,9060,7906,4219,6814,2884,3406,1119,8727,5283,2183,414,5250,1793,7850,4024
+,6154,1019,1048,1916,3,5720,3930,4037,654,698,9740,537,4473,466,7734,6033,3778,5066,406,2193
+,2095,5657,5579,6543,4838,7992,7530,7811,6960,7880,3998,2566,8746,3165,2007,1750,3542,4885,8873,8408
+,3643,7741,4558,1312,2750,8762,4469,4681,5831,3133,4192,2983,3132,7053,4876,9781,7274,5094,6055,3711
+,8579,9894,2308,8615,7065,2355,6589,9376,661,198,5876,1361,4896,9732,8060,2460,2447,411,7217,5439
+,6840,7960,3763,4347,5410,4391,4241,2778,8456,552,4267,3079,9176,8755,8188,394,5006,3311,6995,176
+,2266,8020,4881,380,4518,9129,7380,8630,1478,8605,9261,8863,2735,9862,609,7002,8334,3868,174,6134
+,8654,3313,3504,10000,7593,3523,2848,4579,7148,1539,3681,9949,3547,4744,4009,6648,3003,2905,7611,2632
+,1857,3123,1140,5552,5394,3489,8237,4449,5371,6761,6177,4671,4077,8221,9581,8611,9095,3624,8153,1447
+,4163,1460,4747,426,5806,1818,6966,2940,2844,8483,6836,1422,7725,8863,3302,6776,756,4296,9965,4885
+,3418,1311,1761,9044,8633,691,5538,2506,5334,7914,5908,6394,1318,5681,7227,5349,3401,1082,1916,2300
+,3161,1709,9695,9206,2863,2209,6625,2719,5076,1959,3791,1859,7473,6316,5705,7346,4028,4611,1245,8731
+,3177,6516,9487,9696,3984,6780,7908,6662,6314,6013,7348,6061,454,6009,4320,7129,4107,6561,4513,8174
+,3772,3772,4272,1857,8027,1487,7572,236,4338,2809,4522,9784,2881,8695,1799,2573,1262,7970,6334,2108
+,5779,6044,9266,9439,5642,2881,3513,3145,721,7441,4314,3639,8052,3122,9186,57,2407,3959,1677,4237
+,839,9218,1871,193,3452,5866,6533,992,5457,2714,816,6550,5866,8595,9257,458,5242,2389,8918,3780
+,6319,1556,6956,9672,9126,1109,5916,7444,6635,3198,4861,5301,3534,1431,5999,7068,916,167,5964,7146
+,1335,312,175,5727,1792,9064,4708,7105,2558,2501,8847,444,6215,4139,1318,6397,5613,4384,3405,9346
+,5664,7494,5393,4388,3140,9726,7009,4020,6753,7036,4807,2264,9580,4785,3771,717,330,1736,5965,1679
+,6622,9718,1453,5087,3828,1806,4382,2024,4475,2924,9473,7510,1992,8772,1894,6963,3287,1444,477,4453
+,7738,4652,7462,9841,6026,3119,5247,2200,4262,6889,2569,4354,3550,4782,4886,1000,2988,7663,7282,6714
+,4553,2020,2364,8457,9583,7451,8468,8679,9607,5542,8113,7618,1135,2722,5513,5034,1772,6353,5676,1830
+,2097,8755,5847,6437,7711,8792,3946,9527,9519,925,3016,6461,1178,1756,9674,5056,7572,9823,4505,4886
+,3848,3346,210,4690,9515,9230,6333,4878,6744,4359,6206,1172,7654,6594,2952,1472,3928,3510,5759,1342
-,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9128,6596,439,4187,7074,5841,4741,6015,6232,3608,363,8304,1830,3266,5247,841,5335,8039,7811,2913
+,4587,6315,4498,842,4278,5245,5621,5079,4344,6975,2302,9001,853,4596,9571,1851,2062,9391,1860,5484
+,5008,616,1169,2849,9134,5662,8107,1302,1320,7776,4195,6294,3387,8714,6347,9705,9488,7971,6837,6777
+,6610,1861,4101,8285,1056,777,7410,3775,2724,2149,8078,7031,595,3180,8721,6013,8019,7691,7486,8823
+,4522,3502,9802,7839,7461,5660,9995,2826,5008,773,2830,3496,2146,5754,937,6023,1633,9611,233,3151
-,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8211,4718,6758,5044,2785,49,1857,8224,9792,5152,6256,3231,1937,2449,259,9503,6216,4372,6062,9145
+,3069,21,2834,8523,2324,928,8037,3017,3496,5396,11,4512,3604,2449,4816,6873,6787,965,613,5499
+,5639,6469,4919,5886,6653,3169,271,5244,5046,6988,5316,1697,7053,3689,4627,6447,1864,4497,9929,9371
+,2072,2340,1575,3203,8621,9845,9190,3550,4739,2273,8874,2599,6092,4990,3861,4608,5839,1979,1394,8047
+,7242,1246,2347,1999,7759,9610,6178,8,3316,2370,8281,8603,1317,4015,4191,4923,9058,4427,8772,3900
+,3712,2638,671,4337,257,4477,6518,6865,3504,5622,2947,6877,6346,1036,2337,1101,137,5004,1423,1705
+,826,6863,3423,294,200,2879,2815,9815,6884,1008,4502,2037,495,6258,1488,7292,7989,7000,2367,8687
+,6829,3593,538,4694,5650,8880,8022,9853,741,4981,4827,1467,3283,6943,1409,5088,1730,7295,4559,5461
+,9187,6352,3370,2021,9165,7626,4098,9799,2261,9580,6637,4662,9754,1469,8171,424,4824,9407,5826,9441
+,6415,7411,8390,4201,2079,436,3566,4020,6371,6318,9248,7708,1312,1223,5064,2490,8570,3730,9228,8821
+,4383,6255,6090,2588,7179,3764,2660,58,4273,4829,865,3379,4789,6492,1986,6556,1624,9528,4716,7113
+,6113,236,4623,5368,1947,7548,5239,6055,4301,2759,1759,9676,1255,8794,6168,4724,1236,9936,9019,391
+,9170,4913,5569,8020,2041,9455,2056,171,3500,473,4545,6453,7030,4429,717,8711,3439,8008,9056,1170
+,3675,5019,7148,4983,3545,6655,187,4971,9351,2966,2807,6,5,11,8536,4739,1692,2559,5689,4861
+,7512,5340,4214,7194,7177,5840,9467,32,7312,6915,7797,1092,3114,1354,9253,1142,6199,3249,1477,1543
+,1527,4241,6808,76,3776,7544,1888,5257,7022,1719,4423,5865,7433,8819,1295,8466,2191,6404,2693,6412
+,2502,3026,2056,3053,3723,8743,323,5083,6777,194,2223,5493,4956,3908,5532,4760,23,2358,2973,9878
+,8667,4236,5916,4123,9283,6799,5535,52,2530,2825,1602,4573,1938,3243,4795,7287,770,8487,152,8248
+,5249,2280,1729,6891,4439,1900,5038,91,9219,3779,9412,8888,7853,5300,6861,5087,3063,5062,7753,1670
+,3176,9428,698,7340,2427,9599,2981,8794,9081,5695,1508,7688,3211,4512,4658,5826,4731,2592,2905,7722
+,5213,6590,9635,2011,3326,6808,6936,395,1283,353,5715,9564,2097,9668,9549,5215,5278,171,2829,3271
+,7496,6729,2121,5924,2357,9180,487,9801,124,2283,7448,7292,593,2385,3948,6972,5219,551,4041,7953
+,1611,7242,4938,8692,8992,6900,8250,7536,175,3096,6180,2933,1227,7190,162,7757,7440,2623,7294,1759
+,1068,4728,8687,8444,6269,7687,7214,5297,5396,5324,2622,8380,9806,3516,2686,4619,9026,9674,60,8800
+,4487,8379,1706,1069,9256,9822,2809,9270,650,666,3397,1283,5528,5631,8061,7902,439,4637,1773,3376
+,6097,5207,9513,4485,6936,1953,8747,9134,6006,6523,1398,5290,3380,6987,2017,2841,4315,8386,9431,7015
-,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5435,6640,9607,2066,6357,146,3457,1905,8689,4110,9575,7200,3802,4218,6590,908,603,2281,9113,5622
+,5214,525,2173,5720,1172,3457,2008,1260,5916,9808,9863,4962,9868,9383,4035,7404,1623,8323,9351,3663
+,8385,1019,1184,6583,4012,7016,9543,3044,5620,4664,1000,8269,9599,3517,3449,4013,5897,4594,8812,6935
-,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6271,8793,2294,407,5500,2171,653,3505,5107,9899,2118,4300,2443,7158,9155,406,5388,8135,6712,9103
+,2804,5443,5074,1154,9019,7242,7106,7478,6424,5621,2805,8831,521,7972,8466,3775,398,6756,8926,2165
+,3016,8031,1378,179,8250,5309,5893,7969,3073,5783,1188,6215,3389,4528,3685,8462,8619,3836,91,9573
+,5321,2635,9378,875,3280,5769,7658,693,3996,8147,7514,2270,9301,1512,4991,8836,1082,9291,1463,4480
+,6636,2261,9304,8276,2667,1231,4592,2015,9914,6979,630,1551,6165,2937,9390,1123,3516,6671,1461,2601
+,7049,4024,8404,4490,7299,8703,4319,332,3486,1181,1456,1394,8143,230,7803,7454,6892,1481,6873,6042
+,7863,8982,9919,7663,6520,1963,2912,7935,8098,3687,6577,7488,672,233,2759,6993,5814,4038,5942,4458
+,118,2441,7873,4848,9117,599,4158,7808,9466,5170,919,4042,2365,4509,7479,6391,2076,9030,4358,6030
+,5354,1858,5703,2863,5634,1008,1730,6930,7236,1522,486,8842,8809,7486,5706,9467,7886,6410,5896,825
+,8672,4144,951,7846,3995,2562,711,8796,9425,4773,2969,1864,5703,8901,8173,7670,7653,4866,5325,1225
+,3051,5327,6124,5681,8269,1653,3330,6450,9022,1502,111,636,8979,30,150,2887,7353,1542,2816,5560
+,3432,1191,7996,5685,778,907,3196,1120,1712,3727,344,2599,7947,6527,5794,7036,957,3095,2706,3218
+,572,2478,6500,5031,1855,5970,9639,7608,463,2478,3131,4432,3021,9886,1286,555,1391,7763,9410,344
+,6470,2058,7863,7844,8243,5636,1932,1291,2359,952,4554,2029,1990,2920,6443,4166,5734,8927,874,421
+,9243,5509,3077,400,1379,7887,4648,4266,7011,1902,5978,7184,3698,5802,7817,5166,4462,1840,9325,6287
+,1752,3481,9690,3674,3856,2381,5315,8582,8846,2513,3315,193,1236,5185,7783,7013,7647,4094,7489,2396
-,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9302,5960,8611,4410,5315,9048,2699,3562,1419,1603,7644,3930,1299,6078,7127,1987,3282,4772,7215,7779
+,1529,5462,2917,3762,8705,6605,9887,9235,1575,6630,810,5874,9766,2517,1266,8307,6840,7639,6900,3216
-,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7643,371,5368,3861,4543,1065,6829,9738,7956,2340,966,9285,2816,9617,775,7225,674,8050,2188,5100
+,406,4968,2705,6695,2330,9833,4489,6605,3329,4358,7258,3174,6111,5819,8302,9649,2852,9710,5034,9422
-,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5231,7176,1149,94,2067,1034,2135,8727,5477,9888,7660,6818,2780,2347,6800,6356,3057,6082,3920,9352
+,3709,1173,7864,858,2765,5826,7599,2228,9210,2642,3556,5527,3322,3618,4112,348,6577,593,3267,8874
+,9415,8939,6406,7487,920,2444,896,8787,9327,2040,3079,7620,5501,4395,9627,8205,512,7505,3969,2685
+,6000,1638,4646,3211,4165,7616,6593,7946,731,8796,9972,2712,1168,7533,1659,4436,7313,103,7722,6583
+,1039,5956,2899,3652,2303,1932,3766,9477,2684,7498,4054,5167,8901,5144,8711,1424,9492,8263,9594,9334
+,8522,457,6559,6435,3595,3364,3973,2929,2530,1084,3328,1102,2722,5061,1594,3382,5122,5551,1833,7393
+,7010,4808,8297,4891,2351,7765,5636,2936,6146,4612,7217,6531,5089,714,5002,2671,870,609,7174,8612
+,2341,8820,1016,9949,3299,9660,5147,9249,1580,6166,1321,2729,5975,7823,6293,8916,7819,2585,883,9554
+,1751,2607,1614,4607,9902,5433,4516,1160,6003,4788,3895,8742,7805,9000,9492,1850,9812,4173,6773,9011
+,1837,6191,5056,9978,1132,171,8403,2414,4673,9343,2935,8582,3301,8298,6030,9775,2177,993,8591,1966
+,782,4356,4542,908,3646,6157,9260,8618,4518,1756,6061,9527,260,1579,121,824,8824,5733,1051,3293
-,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8079,9345,799,3834,9240,8159,3758,7209,4726,6755,6161,7621,9380,9417,5281,8396,8471,7078,2192,7929
+,9052,140,8163,3219,7930,8357,496,2613,6249,1812,9230,9796,2523,2860,7760,982,3696,9091,6510,7164
+,1175,407,3727,7528,432,9274,8570,9930,2444,6128,9990,3038,6258,6006,119,7375,7045,3713,2450,6192
+,2767,493,9470,6889,9843,6324,5927,2345,1124,5515,277,254,3092,4013,4157,1438,5207,8424,6321,5921
+,9680,3374,8484,2220,4503,7253,9769,108,498,22,1670,4608,1113,2563,3139,8853,1381,2069,7559,9070
+,1179,660,825,7162,3026,5290,131,6796,8085,6327,7235,7894,2875,1230,5678,9690,9631,8943,8259,4629
-,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1450,9474,2688,1510,4852,2794,8449,2004,8344,6551,917,6154,4745,4363,2555,1746,8753,9463,4768,5949
+,110,5254,994,4304,163,2972,5793,9092,9114,4757,6572,8110,84,2177,8967,9269,3545,6540,3192,6113
+,438,9669,4070,1071,9734,7229,3492,3150,5500,4718,5761,482,3344,4277,6645,5934,1138,6301,5928,227
